state,domain,reporting_program,measure_name,measure_abbreviation,measure_description,ffy,population,methodology,state_rate,number_of_states_reporting,median,25th_percentile,75th_percentile,notes,source,location,expansion_status
Illinois,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & CHIP,Administrative,18.6,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)",2
Michigan,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Administrative,79.2,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(43.3504, -84.5603)",3
Arkansas,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid,Administrative,39.5,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)",2
Missouri,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & CHIP,Administrative,27.4,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)",4
California,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid,Administrative,57.9,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)",1
Arkansas,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Administrative,69.5,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)",2
Texas,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid,Hybrid,58.6,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)",4
Oregon,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid & CHIP & Dual Eligibles,Administrative,33.4,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)",2
New York,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid,Administrative,47.8,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)",2
Delaware,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid,Administrative,66.1,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)",2
Hawaii,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid & CHIP & Dual Eligibles,Hybrid,53.1,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Oklahoma,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,18.9,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.5376, -96.9247)",4
Massachusetts,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid,Administrative,86.1,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)",2
Louisiana,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid & CHIP,Administrative,37.2,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)",3
Mississippi,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,31.0,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)",4
Indiana,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid,Administrative,54.1,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)",3
Indiana,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid,Administrative,58.2,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)",3
Colorado,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid & Dual Eligibles,Administrative,62.0,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0646, -105.3272)",2
Hawaii,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,43.5,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Virginia,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & CHIP,Administrative,33.9,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)",4
New York,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid,Administrative,50.1,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)",2
Vermont,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,80.4,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.0407, -72.7093)",2
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid & Dual Eligibles,Hybrid,75.6,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)",4
Virginia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid & CHIP,Administrative,54.3,31,52.5,46.2,59.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)",4
Montana,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid,Administrative,82.3,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(46.9048, -110.3261)",3
Minnesota,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid & Dual Eligibles,Administrative,86.8,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(45.7326, -93.9196)",1
Iowa,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,19.7,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)",2
Mississippi,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Administrative,78.3,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)",4
Missouri,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid & CHIP,Administrative,52.1,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)",4
New York,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid,Administrative,69.4,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)",2
Texas,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,31.2,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)",4
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid,Administrative,35.2,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)",4
Missouri,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2014,Medicaid & CHIP,Administrative,6.8,26,69.3,7.7,81.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)",4
Massachusetts,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2014,Medicaid,Hybrid,89.0,26,69.3,7.7,81.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)",2
Pennsylvania,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid,Administrative,64.3,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)",3
Iowa,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid,Administrative,52.4,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)",2
Missouri,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid & CHIP,Administrative,45.4,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)",4
Massachusetts,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid,Administrative,83.9,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)",2
Tennessee,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & Dual Eligibles,Administrative,54.7,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)",4
New Hampshire,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid,Administrative,44.0,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(43.4108, -71.5653)",3
West Virginia,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2014,Medicaid & Dual Eligibles,Hybrid,66.8,26,69.3,7.7,81.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)",2
Montana,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid,Administrative,41.0,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(46.9048, -110.3261)",3
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid & CHIP,Administrative,46.2,31,52.5,46.2,59.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)",1
Missouri,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid & CHIP,Administrative,87.2,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)",4
Iowa,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Administrative,81.4,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)",2
Texas,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid,Administrative,33.6,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)",4
Oregon,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,83.8,30,57.3,45.0,71.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)",2
Tennessee,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & Dual Eligibles,Administrative,30.3,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)",4
Illinois,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & CHIP,Administrative,17.9,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)",2
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid,Hybrid,67.2,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)",3
Colorado,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid & CHIP & Dual Eligibles,Hybrid,58.0,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0646, -105.3272)",2
Hawaii,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid & CHIP & Dual Eligibles,Hybrid,79.7,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Arkansas,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2014,Medicaid,Administrative,20.2,34,58.2,42.5,63.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)",2
California,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,52.0,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)",1
Minnesota,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid & Dual Eligibles,Administrative,62.5,31,52.5,46.2,59.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(45.7326, -93.9196)",1
Georgia,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,38.1,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.9866, -83.6487)",4
Alabama,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid,Administrative,64.4,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)",4
Hawaii,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid & CHIP & Dual Eligibles,Hybrid,84.0,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Louisiana,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid & CHIP,Administrative,63.9,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)",3
Indiana,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid,Administrative,84.9,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)",3
Massachusetts,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,30.7,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)",2
New Mexico,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2014,Medicaid & CHIP,Administrative,73.0,27,84.9,82.0,87.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)",2
California,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid,Administrative,65.1,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)",1
Arkansas,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid,Administrative,24.9,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)",2
Rhode Island,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: LDL-C Screening,LDL-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.,2014,Medicaid & CHIP,Administrative,67.4,34,67.6,64.2,75.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)",2
Indiana,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Administrative,76.5,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)",3
Virginia,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & CHIP,Administrative,32.5,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)",4
Kentucky,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2014,Medicaid & Dual Eligibles,Administrative,59.2,31,52.5,46.2,59.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)",2
Washington,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid & CHIP,Administrative,53.6,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)",1
Louisiana,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & CHIP,Administrative,17.8,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)",3
Kentucky,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid & Dual Eligibles,Administrative,59.4,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)",2
Hawaii,Behavioral Health and Substance Use Disorders,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,40.4,30,37.0,25.5,54.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women ,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2014,Medicaid,Administrative,64.9,32,59.3,53.5,65.0,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)",3
Colorado,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & Dual Eligibles,Administrative,46.7,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0646, -105.3272)",2
Rhode Island,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & CHIP,Administrative,39.1,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)",2
Hawaii,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2014,Medicaid & CHIP & Dual Eligibles,Administrative,45.7,31,47.2,41.0,53.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)",2
Ohio,Behavioral Health and Substance Use Disorders,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2014,Medicaid & CHIP,Administrative,36.4,31,31.2,24.9,36.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3736, -82.7755)",2
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2014,Medicaid & CHIP,Administrative,47.8,33,57.7,50.9,66.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)",2
Pennsylvania,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2014,Medicaid,Hybrid,84.6,34,79.5,74.6,82.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)",3
