state,domain,reporting_program,measure_name,measure_abbreviation,measure_description,ffy,population,methodology,state_rate,number_of_states_reporting,median,25th_percentile,75th_percentile,notes,source,expansion_status
New York,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,85.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Rhode Island,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,60.2,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Ohio,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & CHIP,Administrative,59.0,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Pennsylvania,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid,Administrative,87.1,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Illinois,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid & CHIP,Administrative,51.5,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Massachusetts,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Administrative & Hybrid,68.8,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Mississippi,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid,Hybrid,81.7,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Colorado,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & Dual Eligibles,Administrative,49.8,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Michigan,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid,Administrative,54.6,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Missouri,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,77.9,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
New York,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid,Administrative,40.5,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Delaware,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,42.4,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Maine,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,54.6,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Missouri,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Administrative,38.9,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Arkansas,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,33.3,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Oregon,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid & CHIP & Dual Eligibles,Administrative,84.7,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
South Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,39.9,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Louisiana,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid & CHIP,Administrative,19.3,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & Dual Eligibles,Administrative,9.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Pennsylvania,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid,Administrative,44.0,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
North Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,39.5,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Minnesota,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & Dual Eligibles,Administrative,11.8,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Massachusetts,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,81.4,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Texas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,28.0,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Kentucky,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid & Dual Eligibles,Administrative,52.9,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
South Carolina,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid,Administrative,45.7,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Iowa,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,46.5,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Missouri,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,25.0,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Georgia,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Hybrid,65.8,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Florida,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,39.5,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Texas,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,61.1,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Montana,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid & Dual Eligibles,Administrative,57.4,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Oklahoma,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,38.7,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Rhode Island,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Hybrid,70.7,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Maryland,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,42.9,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
New Hampshire,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & Dual Eligibles,Hybrid,70.9,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
South Dakota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,67.3,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Ohio,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid & CHIP,Administrative,54.3,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Michigan,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,52.3,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
Alabama,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid,Hybrid,68.7,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
New Mexico,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid,Administrative,25.1,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Illinois,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & CHIP,Administrative,78.5,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Louisiana,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Hybrid,60.8,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
California,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid,Administrative,84.4,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Indiana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,77.1,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
Ohio,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,72.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,60.8,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Delaware,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & Dual Eligibles,Hybrid,75.9,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
South Dakota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,39.4,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Administrative,8.3,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
South Carolina,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,68.7,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Minnesota,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & Dual Eligibles,Administrative,34.7,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Oregon,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,48.1,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Kentucky,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid & Dual Eligibles,Administrative,63.1,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Nebraska,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & Dual Eligibles,Administrative,39.9,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Massachusetts,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,58.4,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
North Carolina,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,24.9,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Texas,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid,Administrative,60.1,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Pennsylvania,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,77.2,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
Pennsylvania,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,71.7,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Louisiana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,33.5,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
Massachusetts,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,46.7,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
New York,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid,Administrative,87.2,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
New Jersey,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,76.6,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Kentucky,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & Dual Eligibles,Administrative,90.6,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Connecticut,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & CHIP,Administrative,86.7,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Arkansas,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,59.2,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Illinois,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & CHIP,Administrative,52.8,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Ohio,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid & CHIP,Administrative,50.2,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Maryland,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & CHIP,Administrative,21.3,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Rhode Island,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,67.9,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
New Mexico,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,41.5,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Oklahoma,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & Dual Eligibles,Administrative,62.3,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Rhode Island,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,37.2,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
South Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,36.3,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,84.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Iowa,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,42.1,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Colorado,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,42.4,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Michigan,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,49.7,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid,Administrative,33.1,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
