Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
Managed Medical Assistance Program,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),08/01/2014 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Other,Automated Health Systems,Beneficiaries are enrolled immediately after determined eligible. Beneficiaries are then given 120 days to pick a plan.,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,,X,,,X,X,X,"Midwife, birth center, podiatry, and targeted case management. In addition, the agency also negotiated expanded benefits above the Medicaid state plan service package. These expanded benefits vary by plan and can include, but are not necessarily limited to, expanded adult dental services, expanded outpatient hospital visits, physician home visits, nutritional counseling, and home and community-based services.",Yes,Yes,Yes,"NCQA, AAAHC, Nationally recognized accrediting organizations",Health Services Advisory Group,X,,X,,X,"Amerigroup Florida, Inc.; Better Health, Inc.; Aetna DBA Coventry Healthcare of FL, Inc.; Humana Medical Plan; Molina Healthcare of Florida, Inc.; Prestige Health Choice; South Florida Community Care Network DBA Community Care Plan; Simply Healthcare Plans, Inc.; Wellcare Health Plan of Florida DBA Staywell; Centene DBA Sunshine State Health Plan, Inc.; United Healthcare of Florida, Inc.; AIDS Healthcare Foundation DBA Positive Healthcare, Inc.; Freedom Health, Inc.; Magellan Complete Care, LLC; Simply Healthcare Plans DBA Clear Health Alliance; Sunshine State Health Plan, Inc.; Children's Medical Services","The following populations are enrolled automatically in the Managed Medical Assistance (MMA) program. Pregnant women who meet all other criteria for Medicaid eligibility are automatically enrolled, however presumptively eligible pregnant women are excluded. Full dual recipients receiving fee-for-service Medicare or beneficiareis who are enrolled in a Medicare Advantage plan are automatically enrolled, however duals who are not fully liable but who are enrolled in a fully liable Medicare Advantage plan or in a Medicare Advantage Special Needs plan are excluded. The MMA program includes MMA specialty plans for recipients in the child welfare system, recipients under the age of 21 with chronic conditions, recipients with HIV or AIDS, recipients with a serious mental illness, and adults with chronic conditions who have both Medicare and full Medicaid (also called “full duals”). The MMA specialty plans cover the same health care services as the standard MMA plans.",FL
Long-term Care Program,MLTSS only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),03/01/2014 12:00:00 AM,12/27/2021 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,60 days,Automated Health Systems,,,,,,,,,,,,,,,X,,X,,,,X,X,X,,X,X,X,,"Home health prosthetic devices, intermittent and skilled nursing services. In addition, the agency also negotiated expanded benefits above the Medicaid state plan service package and 1915(c). These expanded benefits vary by plan and include, but are not limited to, cellular phone service, mobile personal emergency response system, over-the-counter medications and supplies, and support to transition out of nursing facilities.",Yes,No,Yes,"NCQA, AAAHC, Nationally recognized accrediting organizations",Health Services Advisory Group,,,,,,"Amerigroup Florida, Inc.; Aetna DBA Coventry Healthcare of FL, Inc.; Molina Healthcare of FL, Inc.; Centene DBA Sunshine State Health Plan, Inc.; United Healthcare of FL, Inc.; Humana Medical Plan, Inc.","A recipient must be 18 years of age or older and meet Nursing Facility level of care in order to enroll in the Long-term Care program.  Recipients aged 18 to 64 must be eligible for Medicaid by reason of a disability as determined by the Social Security Administration in order to enroll in the Long-term Care program. In addition to the 60 day enrollment period, once a recipient is enrolled with a plan they have 120 days to change plans if they wish to do so.",FL
Program of All-Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/2003 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,N/A,Automated Health Systems,Continuous while slots are available,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,,,X,X,X,,All other FL Medicaid covered services and other services as determined by the multidisciplinary team,No,No,No,,,,,,,,"Florida PACE Center; Hope Select Care; Morselife Home Care, Inc.; Suncoast Neighborly Care, Inc.",,FL
Georgia Families,Comprehensive MCO,Statewide,1932(a)/1915(i),06/01/2006 12:00:00 AM,,,Mandatory,,,Mandatory,Voluntary,,,,Exempt,Exempt,30 days,maximus,,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,,,,,,,,,,Yes,Yes,Yes,"NCQA, URAC",Health Services Advisory Group,,X,,,,Amerigroup Community Care; CareSource - Georgia; Peach State Health Plan; WellCare of Georgia,"Georgia Families is a program that delivers health care services to members of Medicaid and PeachCare for Kids. (PeachCare for Kids is an S-CHIP program. The enrollment data provided in this report do not include enrollment data for PeachCare for Kids.) The program is a partnership between the Department of Community Health (DCH) and private care management organizations (CMOs). Georgia Families provides members a choice of health plans, allowing them to select a health care plan that fits their needs. Dually eligible beneficiaries are not eligible to enroll in Georgia Families. However, if an individual becomes dually eligible while already enrolled in a Georgia Families plan, a short delay in disenrollment results in the inclusion of a small number of dually eligible enrollees in Georgia Families plans.",GA
Georgia Families 360,Comprehensive MCO,Statewide,"1932(a),1932(a)/1915(i)",03/03/2014 12:00:00 AM,,,,,,,,,,,Exempt,Mandatory,30 days,Maximus,,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,,,,,X,,,,"Podiatry, nurse midwife",Yes,Yes,Yes,"NCQA, JCAHO, URAC",Health Services Advisory Group,X,,,,,Amerigroup,"Georgia Families 360 enrolls children, youth, and young adults in foster care; children and youth receiving adoption assistance; and select youth involved in the juvenile justice system.",GA
Planning for Healthy Babies (P4HB),Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1115(a) (Medicaid demonstration waivers),01/01/2011 12:00:00 AM,12/31/2020 12:00:00 AM,,,,,,Voluntary,,,,Exempt,Exempt,Other,,"Women who are enrolled in the P4HB program are granted a 30 days period to select a care management organization (CMO) of their choice. Furthermore, once a woman selects a CMO, she transitions to her selected CMO the day following her CMO selection. If the woman does not select a CMO within the 30 day choice period, she is autoassigned to a CMO, in order to receive P4HB services, based on the state's auto-assignment algorithm.",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,Yes,Yes,No,,,,,,,,Amerigroup; CareSource- Georgia; Peach State Health Plan; WellCare of Georgia,,GA
Non-Emergency Medical Transportation (NEMT),Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/07/1997 12:00:00 AM,,,Voluntary,,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,Exempt,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Southeast Trans; Logisticare,"To provide the necessary non-emergency medical transportation, DCH utilizes a brokerage system and it is these two Brokers, LogistiCare and Southeastrans, who coordinate and provide NEMT services for the state's five regions (North, Atlanta, Central, East and Southwest). NEMT brokers are paid a monthly capitated rate based on the number of eligible Medicaid members residing in their contracted region(s). Transportation services are provided at no cost.",GA
Hawaii QUEST Integration,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),09/01/1994 12:00:00 AM,07/31/2024 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,30 days,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,Yes,Yes,Yes,NCQA,Health Services Advisory Group,,X,,X,X,AlohaCare QUEST; Hawaii Medical Service Association (HMSA) QUEST; Kaiser Permanente QUEST; Ohana Health Plan QUEST; UnitedHealthcare Community Plan QUEST; AlohaCare ABD; HMSA ABD; Kaiser ABD; Ohana ABD; UnitedHealth ABD; Ohana Community Care Service (BHS),,HI
Idaho Behavioral Health Plan,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,"1915(b),1915(b)/1915(i)",09/01/2013 12:00:00 AM,03/21/2022 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Voluntary,Voluntary,,Mandatory,Mandatory,,,,,,,X,,X,X,X,,,,,X,X,,,,,,,,,,,,,,Peer support; family support,Yes,Yes,Yes,NCQA,,X,,X,X,X,Idaho Behavioral Health Plan,HCBS Services are not covered under this program.,ID
Healthy Connections,Primary Care Case Management (PCCM),Statewide,1932(a),10/01/2006 12:00:00 AM,,,Mandatory,,Mandatory,Mandatory,,Voluntary,Voluntary,,Voluntary,Voluntary,N/A,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,"For those participating at tiers 3 or 4 of our PCMH model, national accreditation is required.",,,,,,,Healthy Connections,,ID
Medicare/Medicaid Coordinated Plan,Comprehensive MCO + MLTSS,Counties,1915(a)/1915(c),07/01/2014 12:00:00 AM,12/31/2019 12:00:00 AM,,,,,,,Voluntary,,,Voluntary,Exempt,,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,,,X,X,,X,X,X,,,Medicaid-Primary services not covered by Medicare,No,No,Yes,NCQA,Telligen,,,X,X,X,Medicare/Medicaid Coordinated Plan,,ID
Idaho Smiles,Dental only (PAHP),Statewide,1915(b),08/01/2010 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,No,Yes,No,"NCQA, AAAHC",,,,,X,,Idaho Smiles,,ID
Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,09/01/2010 12:00:00 AM,,,Mandatory,,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,URAC,,,,,,,Non-Emergency Medical Transportation,,ID
HealthChoice Illinois - Managed Long-Term Services and Supports,MLTSS only (PIHP and/or PAHP),"Cook, DuPage, Kane, Kankakee, Lake and Will counties",1915(b),01/01/2018 12:00:00 AM,12/31/2019 12:00:00 AM,,,,,,,Mandatory,,,Voluntary,Exempt,60 days,MAXIMUS,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,,Non-Medicare behavioral health,No,Yes,Yes,NCQA,Health Services Advisory Group,X,,,X,X,Blue Cross Blue Shield of Illinois; CountyCare; Harmony Health Plan; IlliniCare Health Plan; Meridian Health Plan; Molina Healthcare of Illinois; NextLevel Health Partners,"Dually eligible adults enrolled in the state’s Financial Alignment Initiative Demonstration (MMAI) are not allowed to enroll in this program. Pursuant to 305 ILCS 5/5-30 (a) and (h), if a managed care organization (MCO) is serving at least 5,000 SPDs (Seniors or Persons with Disabilities) or 15,000 individuals in other populations covered by Illinois Medicaid and has received full-risk capitation for at least one (1) year, the MCO is considered eligible for accreditation and shall achieve accreditation by the NCQA within two (2) years after the date the MCO became eligible for accreditation.",IL
PACE,Program of All-inclusive Care for the Elderly (PACE),"Lake and Johnson Counties, and the following zip codes: 46107, 46201, 46202, 46203, 46204, 46217, 46218, 46219, 46221, 46222, 46225, 46227, 46229, 46237, 46239, 46241, 46259, 46506, 46514, 46516, 46517, 46526,46530, 46536, 46544, 46545, 46552, 46554, 46556, 46561, 46574, 46601, 46613, 46614, 46615, 46616, 46617, 46619, 46628, 46635, 46637, 46563, 46573",PACE,10/01/2012 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,,X,,X,X,X,,,No,No,No,,,,,,,,Franciscan Senior Health and Wellness; Saint Joseph PACE,,IN
Hoosier Care Connect,Comprehensive MCO,Statewide,1915(b),04/01/2015 12:00:00 AM,06/30/2019 12:00:00 AM,,,,Mandatory,,,,,,Voluntary,Voluntary,Other,Maximus,"If members do select a health plan upon application, they are auto-assigned. They have a 90-day window to change their health plan.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,,,X,X,X,X,Podiatry,Yes,Yes,Yes,NCQA,Burns and Associates,X,,,X,X,Anthem; Managed Health Services of Indiana,,IN
Hoosier Healthwise,Comprehensive MCO,Statewide,1932(a),01/01/2000 12:00:00 AM,,,,,,Mandatory,,,,,Voluntary,Exempt,Other,Maximus,"If members do select a health plan upon application, they are auto-assigned. They have a 90-day window to change their health plan.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,,,,,X,X,Podiatry,Yes,Yes,Yes,NCQA,Burns and Associates,X,,,X,X,"Anthem; Caresource Indiana, Inc; Managed Health Services of Indiana; MDWise",,IN
Healthy Indiana Plan (2.0),Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),02/01/2015 12:00:00 AM,12/31/2020 12:00:00 AM,,Mandatory,Mandatory,,,,,,,Voluntary,Exempt,Other,Maximus,"If members do select a health plan upon application, they are auto-assigned. They have a 60-day window to change their health plan. Members cannot change plans after having made a POWER account contribution.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,X,X,X,Podiatry,Yes,Yes,Yes,NCQA,Burns and Associates,X,,,X,X,"Anthem; Caresource Indiana, Inc; Managed Health Services of Indiana; MDWise",,IN
IA Healthlink,Comprehensive MCO + MLTSS,Statewide,"1915(b)/1915(c),1937 Alt Benefit Plan,1945 Health Homes",04/01/2016 12:00:00 AM,03/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,Pre-assigned,Maximus (Iowa Medicaid Member Services contractor),,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,X,X,X,"UnitedHealthcare; Amerigroup of Iowa, Inc.",,IA
Dental Wellness Plan,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),05/01/2014 12:00:00 AM,01/01/2020 12:00:00 AM,,Mandatory,Mandatory,,,,Mandatory,Mandatory,,Voluntary,Exempt,Pre-assigned,Maximus (Iowa Medicaid Member Services contractor),,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,No,No,No,,Health Services Advisory Group,,,,X,,"Delta Dental of Iowa; MCNA Dental Plans, Inc.",,IA
PACE,Program of All-inclusive Care for the Elderly (PACE),"Harrison, Mills, Pottawattamie, Cherokee, Monona, Plymouth, Woodbury, Boone, Dallas, Jasper, Marshall, Madison, Marion, Polk, Story, and Warren Counties",PACE,09/01/2009 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Exempt,Exempt,N/A,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,,,X,,X,X,X,,,No,No,No,,,,,,,,PACE,,IA
NEMT,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,01/01/2009 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,"Access2Care, LLC",,IA
KanCare,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2013 12:00:00 AM,12/31/2018 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,60 days,DXC Technology,,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,,,Yes,Yes,Yes,NCQA,Kansas Foundation for Medical Care,,,X,X,X,"Amerigroup Kansas, Inc.; Sunflower State Health Plan; United HealthCare Community Plan of Kansas",Kansas operates Kancare under the 1115(a) demonstration waiver concurrently with seven 1915(c) waivers. Personal Care Benefits are covered through one or more of the 1915(c) waivers.,KS
PACE,Program of All-inclusive Care for the Elderly (PACE),"Dickinson, Douglas, Ellsworth, Harvey, Jackson, Jefferson, Leavenworth, Lincoln, Lyon, Marion, Marshall, McPherson, Nemaha, Osage, Ottawa, Reno, Rice, Saline, Sedgwick, Shawnee, Pottawatomie, Wabaunsee and Wyandotte counties",PACE,08/01/2002 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,DXC Technologies,,X,X,X,X,X,X,X,,X,X,X,X,,,,X,,X,X,,,,,X,X,X,,"Adult day care, recreational therapy, meals, social services, social work counseling, etc.",No,No,No,,,,,,,,"Via Christi; Midland Care; Bluestem Pace, Inc.",,KS
Kentucky Managed Care,Comprehensive MCO,Statewide,1915(b),11/01/2011 12:00:00 AM,09/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Voluntary,Mandatory,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,X,,,X,,,,Yes,Yes,Yes,NCQA,Island Peer Review Organization,X,,X,,X,Aetna Better Health of Kentucky; Anthem Blue Cross Blue Shield Medicaid; Humana-Caresource; Passport Health Plan; WellCare of Kentucky,,KY
Kentucky Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,1915(b),12/01/1998 12:00:00 AM,09/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,Mandatory,Voluntary,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,NEMT - Human Services Transportation Delivery,,KY
Healthy Louisiana,Comprehensive MCO,Statewide,1932(a),02/01/2012 12:00:00 AM,,,Mandatory,Mandatory,Varies,Mandatory,,,,,Voluntary,Mandatory,Other,Maximus Health Services,"The enrollee has the opportunity to choose an MCO at the time of application.  If they do not choose an MCO, the enrollee is pre-assigned.",X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,X,,,,,X,X,X,"Similar to Private Duty Nursing, Louisiana offers Extended Home Nursing to recipients under 21 only. Certified Nurse Midwives are covered and practice within the scope of their license. Podiatry services are covered, but limited to a list of payable procedures. Personal care (state plan option) services are available to enrollees aged 0 - 20.",Yes,Yes,Yes,"NCQA, URAC",IPRO,,,X,X,X,Aetna Better Health; AmeriHealth Caritas of Louisiana; Healthy Blue; Louisiana Healthcare Connections; UnitedHealthcare Community Plan,Some of the disabled children population can voluntarily opt out of enrolling.,LA
Healthy Louisiana BHO,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),12/01/2015 12:00:00 AM,10/31/2022 12:00:00 AM,,,,Mandatory,,,Mandatory,,Mandatory,Exempt,Mandatory,Pre-assigned,Maximus Health Services,,,X,,X,,X,X,X,X,,,,X,X,,,,,,,X,,,,,X,X,,Yes,Yes,Yes,NCQA,IPRO,,,X,X,X,Aetna Better Health; AmeriHealth Caritas of Louisiana; Healthy Blue; Louisiana Healthcare Connections; UnitedHealthcare Community Plan,"This is a limited benefit MCO program, which is reported as a BHO since only behavioral health services and NEMT are covered. These enrollees are individuals who receive fee-for-service Medicaid for most of their health services, including physical health services and prescription benefits. The limited benefit MCO program covers behavioral health services for residents in long term care facilities as well as those outside of long term care facilities.",LA
Coordinated System of Care,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),03/01/2012 12:00:00 AM,06/30/2022 12:00:00 AM,,,,,,,,,Voluntary,Exempt,,,,,,X,,X,,X,X,X,X,,,,X,X,,,,,,,X,,,,,,,"Youth Support and Training (YST); Parent Support and Training (PST); short-term respite; Independent Living/Skills Building (ILSB) services; mental health rehabilitation services including: psychosocial rehabilitation, crisis intervention, crisis stabilization.",No,No,Yes,NCQA,,,,,,,Magellan,,LA
Dental Benefit Management Program,Dental only (PAHP),Statewide,1915(b),07/01/2014 12:00:00 AM,06/30/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,X,X,X,,,X,,,,,X,X,,,,,,,,,,Yes,Yes,No,,Myers & Stauffer LC,,,,,,MCNA of Louisiana,,LA
PACE,Program of All-inclusive Care for the Elderly (PACE),"Baton Rouge, Greater New Orleans, Lafayette",PACE,09/01/2007 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Voluntary,,N/A,,,X,X,X,X,,X,X,X,X,X,X,X,,X,,X,,X,X,X,X,X,,X,X,X,,"All specialized services authorized by IDT, including podiatry.",No,No,No,,,,,,,,Baton Rouge; Greater New Orleans; Lafayette,,LA
MaineCare,Primary Care Case Management (PCCM),Statewide,1932(a),05/01/1999 12:00:00 AM,,,,,Mandatory,Mandatory,,,,,Voluntary,Voluntary,N/A,,28 days,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,Yes,Yes,No,,,X,,X,,,Multiple Primary Care Providers,,ME
NET,Non-Emergency Medical Transportation,Statewide,1915(b),08/01/2011 12:00:00 AM,03/31/2022 12:00:00 AM,,,,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Pre-assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Logisticare; MidCoast Connector; Penquis CAP,,ME
HealthChoice,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),06/02/1997 12:00:00 AM,12/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Mandatory,Other,Maryland Health Connection,If participants don't choose at the time of application they are auto-assigned.,X,,X,,,X,X,X,X,X,X,X,X,X,,X,X,,,,,X,,,X,,,"Nurse midwife, freestanding birthing centers, podiatry (routine foot care under 21 and diabetics)",Yes,Yes,Yes,NCQA,Qlarant,X,,X,X,,Amerigroup Community Care; Aetna Better Health of Maryland; Jai Medical Systems; Kaiser Permanete; Maryland Physician's Care; MedStar; Priority Partners; United HealthCare; University of Maryland Health Partners,,MD
Hopkins Elder Plus,Program of All-inclusive Care for the Elderly (PACE),"21052, 21202, 21205, 21206, 21213, 21214, 21217, 21218, 21219, 21220, 21221, 21222, 21224, 21227, 21231, 21237",PACE,11/01/2002 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All benefits listed under 42 CFR 460.90 - 460.106,No,No,No,,,,,,,,Hopkins Elder Plus,,MD
MassHealth Managed Care,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),07/07/1998 12:00:00 AM,06/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Voluntary,Other,Maximus,14 days with a 90 day plan selection period.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,,,,X,X,X,X,"Acupuncture, audiology, breast pump, chiropractic, diabetes self-management training, dialysis, DME, early intervention, emergency services, fluoride varnish, hearing aids, infertility diagnosis, dentures, medical nutrition therapy, orthotics, podiatry, radiology and diagnostic tests, tobacco cessation, vision care, speech therapy, occupational therapy, physical therapy,  SNF, chronic or rehab, others",Yes,Yes,Yes,NCQA,"Innovative Resource Group, LLC D/B/A KEPRO",,,X,,X,Tufts Health Plan; Boston Medical Center Health Plan,,MA
Primary Care Clinician Program (PCC Plan),Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1995 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Voluntary,N/A,Maximus,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,Voluntary participation in EQR performance measure validation,"Innovative Resource Group, LLC D/B/A KEPRO",,,,,,Multiple Primary Care Providers,,MA
Primary Care Accountable Care Organizations (Primary Care ACO),Primary Care Case Management Entity (PCCM Entity),Statewide,1115(a) (Medicaid demonstration waivers),03/01/2018 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Voluntary,Other,Maximus,14 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,"Innovative Resource Group, LLC D/B/A KEPRO",,,X,,X,Community Care Cooperative; Partners HealthCare Choice; Steward Health Choice,Services provided in this program are covered by total cost of care rather than capitation.,MA
Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcestor",PACE,07/10/1990 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,,N/A,,"Enrollment open all year, effective the first day of the next month following the date on which the member elects to enroll.",X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,X,,X,X,X,,"The PACE program covers all medically necessary services for the enrolled population, including but not limited to all covered Medicare and Medicaid services.",No,No,No,,,,,,,,Elder Service Plan of Cambridge Health Alliance; Upham's Elder Service Plan; Elder Service Plan of Harbor Health; Fallon Health Summit Eldercare; Element Care Inc; Serenity Care PACE Program; Mercy Life Inc; Neighborhood PACE,"Enrollment numbers do not include private pay enrollees, if any.",MA
